欧洲国家列表, europe, ,
安道尔, andorra, 安道尔, Andorra
奥地利, austria, 维也纳, Vienna
阿尔巴尼亚, albania, 地拉那, Tirana
爱尔兰, ireland, 都柏林, Dublin
爱沙尼亚, estonia, 塔林, Tallinn
冰岛, iceland, 雷克雅未克, Reykjavik
白俄罗斯, belarus, 明斯克, Minsk
白俄罗斯, BIELORUSSIA, 明斯克, Minsk
保加利亚, bulgaria, 索非亚, Sofia
波兰, poland, 华沙, Warsaw
波斯尼亚和黑塞哥维那, bosnia, 萨拉热窝, Sarajevo
比利时, belgium, 布鲁塞尔, Brussels
德国, germany, 柏林, Berlin
丹麦, denmark, 哥本哈根, Copenhagen
俄罗斯, russia, 莫斯科, Moscow
俄罗斯, russian federation, 莫斯科, Moscow
法国, france, 巴黎, Paris
芬兰, finland, 赫尔辛基, Helsinki
荷兰, holand, 阿姆斯特丹, Amsterdam
荷兰, netherlands, 阿姆斯特丹, Amsterdam
捷克, czech, 布拉格, Prague
捷克, czech republic, 布拉格, Prague
克罗地亚, croatia, 萨格勒布, Zagreb
拉脱维亚, latvia, 里加, Riga
立陶宛, lithuania, 维尔纽斯, Vilnius
列支敦士登, liechtenstein, 瓦杜兹, Vaduz
罗马尼亚, romania, 布加勒斯特, Bucharest
马其顿, macedonia, 斯科普里, Skopje
马耳他, malta, 瓦莱塔, 
卢森堡, luxembourg, 卢森堡, Luxembourg
黑山, Montenegro, 波德戈里察, Podgorica
摩纳哥, monaco, 摩纳哥, Monaco
摩尔多瓦, moldova, 基希讷乌, Chisinau
挪威, norway, 奥斯路, Oslo
塞尔维亚, serbia, , 
葡萄牙, portugal, 里斯本, Lisbon
瑞典, sweden, 斯德哥尔摩, Stockholm
瑞士, switzerland, 伯尔尼, Bern
斯洛伐克, slovak, 布拉提斯拉发, Bratislava
斯洛文尼亚, slovenia, 卢布尔雅那, Ljubljana
圣马力诺, san marino, 圣马力诺, San Marino
乌克兰, ukraine, 基辅, Kiev
西班牙, spain, 马德里, Madrid
希腊, greece, 雅典, Athens
匈牙利, hungary, 布达佩斯, Budapest
意大利, italy, 罗马, Rome
英国, united kingdom, 伦敦, London
英国, UK, 伦敦, London
大不列颠, Great Britain, , 
亚洲国家列表, asia, , 
阿富汗, afghanistan, 喀布尔, Kabul
阿拉伯联合酋长国, united arab emirates, 阿布扎比, Abu Dhabi
阿拉伯联合酋长国, united arabs emirates, 阿布扎比, Abu Dhabi
阿拉伯联合酋长国, uae, 阿布扎比, Abu Dhabi
阿拉伯联合酋长国, u.a.e., 阿布扎比, Abu Dhabi
阿联酋, uae, 阿布扎比, Abu Dhabi
阿曼, oman, 马斯喀特, Muscat
阿塞拜疆, azerbaijan, 巴库, Baku
巴基斯坦, pakistan, 伊斯兰堡, Islamabad
巴勒斯坦, palestine, 耶路撒冷, Jerusalem
巴林, bahrain, 麦纳麦, Manama
不丹, bhutan, 廷布, Thimphu
朝鲜, north korea, 平壤, Pyongyang
东帝汶, timor, 帝力, Dili
菲律宾, philippines, 马尼拉, Manila
格鲁吉亚, georgia, 第比利斯, T'bilisi
哈萨克斯坦, kazakhstan, 阿斯塔纳, Astana
韩国, south korea, 首尔, seoul
韩国, korea, 首尔, seoul
吉尔吉斯共和国, kirgizstan, 比什凯克, Bishkek
吉尔吉斯斯坦, kirgizstan, 比什凯克, Bishkek
柬埔寨, cambodia, 金边, Phnom Penh
卡塔尔, qatar, 多哈, Doha
科威特, kuwait, 科威特城, Kuwait
老挝, laos, 万象, Vientiane
黎巴嫩, lebanon, 贝鲁特, Beirut
马尔代夫, maldives, 马累, Male
马来西亚, malaysia, 吉隆坡, Kuala Lumpur
蒙古, mongolia, 乌兰巴托, Elggydggmgj
孟加拉国, bangladesh, 达卡, Dhaka
缅甸, myanmar, 仰光, Yangon
尼泊尔, nepal, 加德满都, Kathmandu
日本, japan, 东京, Tokyo
塞浦路斯, cyprus, 尼科西亚, Nicosia
沙特阿拉伯, saudi arabia, 利雅得, Riyadh
斯里兰卡, srilanka, 科伦坡, Colombo
塔吉克斯坦, tajikistan, 杜尚别, Dushanbe
泰国, thailand, 曼谷, Bangkok
土耳其, turkey, 安卡拉, Ankara
土库曼斯坦, turkmenistan, 阿什哈巴德, Ashgabat
文莱, brunei, 斯里巴加湾市, Bandar Seri Begawan
乌兹别克斯坦, uzbekistan, 塔什干, Tashkent
新加坡, singapore, 新加坡, Singapore
叙利亚, syria, 大马士革, Damascus
叙利亚, Syrian Arab Republic, 大马士革, Damascus
亚美尼亚, armenia, 埃里温, Yerevan
亚美尼亚共和国, armenia, 埃里温, Yerevan
也门, yemen, 萨那, Sanaa
伊朗, iran, 德黑兰, Tehran
伊拉克, iraq, 巴格达, Baghdad
以色列, israel, 耶路撒冷, Jerusalem
印度, india, 新德里, New Delhi
印度尼西亚, indonesia, 雅加达, Jakarta
约旦, jordan, 安曼, Amman
越南, vietnam, 河内, Hanoi
中国, china, 北京, Beijing
香港, Hong Kong, 香港, Hong Kong
中国香港特别行政区, Hong Kong, 香港, Hong Kong
香港特别行政区, Hong Kong, 香港, Hong Kong
中国香港, Hong Kong, 香港, Hong Kong
台湾, Taiwan, 台北, Taipei
中国台湾, Taiwan, 台北, Taipei
澳门, Macau, 澳门, Macau
中国澳门, Macau, 澳门, Macau
中国澳门特别行政区, Macau, 澳门, Macau
澳门, Macao, 澳门, Macau
北美洲国家列表,north america , ,
安提瓜和巴布达, antigua barbuda, 圣约翰, Saint John's
巴巴多斯, barbados, 布里奇敦, Bridgetown
巴哈马, bahamas, 拿骚, Nassau
多米尼克, dominica, 罗索, Roseau
格林纳达, grenada, 圣乔治, Saint George's
阿鲁巴, Aruba, , 
古巴, cuba, 哈瓦那, Havana
古巴共和国, cuba, 哈瓦那, Havana
圣马丁,Sint Maarten,,
荷属圣马丁,Sint Maarten,,
圣马丁,Saint-Martin,,
英属维京群岛,British Virgin Islands,,
加拿大, canada, 渥太华, Ottawa
美国, united states, 华盛顿, Washington
美国, USA, 华盛顿, Washington
美国, united states of america, 华盛顿, Washington
特立尼达和多巴哥, trinidad and tobago, 西班牙港, Port-of-Spain
巴拿马, Panama , 巴拿马城 , Panama City
波多黎各, Puerto Rico, 圣胡安, San Juan
南美洲国家列表,south america , , 
阿根廷, argentina, 布宜诺斯艾利斯, Buenos Aires
危地马拉, Guatemala, 危地马拉城, Guatemala City
玻利维亚, bolivia, 苏克雷, Sucre
巴西, brazil, 巴西利亚, Santiago
厄瓜多尔, ecuador, 基多, Quito
哥伦比亚, colombia, 波哥大, Bogota
圭亚那, guyana, 乔治敦, Georgetown
秘鲁, peru, 利马, Lima
墨西哥, mexico, 墨西哥城, Mexico City
苏里南, surinam, 帕拉马里博, Paramaribo
圣卢西亚, saint lucia, 卡斯特里, Castries
乌拉圭, uruguay, 蒙得维的亚, Montevide
委内瑞拉, venezuela, 加拉加斯, Caracas
牙买加, jamaica, 金斯敦, Kingston
智利, chile, 圣地亚哥, Santiago
非洲国家列表, africa, , 
阿尔及利亚, algeria, 阿尔及尔, Algiers
埃及, egypt, 开罗, Cairo
埃塞俄比亚, ethiopia, 亚的斯亚贝巴, Addis Ababa
安哥拉, angola, 罗安达, Luanda
贝宁, benin, 波多诺伏, Porto-Novo
博茨瓦纳, botswana, 哈博罗内, Gaborone
布基纳法索, burkina faso, 瓦加杜古, Ouagadougou
布隆迪, burundi, 布琼布拉, Bujumbura
赤道几内亚, equatorial guinea, 马拉博, Malabo
多哥, togo, 洛美, Lome
厄立特里亚, eritrea, 阿斯马拉, Asmara
佛得角, verde, 普拉亚, Praia
冈比亚, gambia, 班珠尔, Banjul
刚果（布）, congo, 布拉柴维尔, Brazzaville
刚果（金）, congo kinshasa, 金沙萨, Kinshasa
吉布提, djibouti, 吉布提, Djibouti
几内亚, guinea, 科纳克里, Conakry
几内亚比绍, guinea bissau, 比绍, Bissau
加蓬, gabon, 利伯维尔, Libreville
加纳, ghana, 阿克拉, Accra
津巴布韦, zimbabwe, 哈拉雷, Harare
喀麦隆, cameroon, 雅温得, Yaounde
科摩罗, comoros, 莫罗尼, Moroni
科特迪瓦, Côte d’Ivoire, 亚穆苏克罗, Yamoussoukro
肯尼亚, kenya, 内罗华, Nairobi
莱索托, lesotho, 马塞卢, Maseru
利比里亚, liberia, 蒙罗维亚, Monrovia
利比亚, libya, 的黎波里, Tripoli
卢旺达, rwanda, 基加利, Kigali
马达加斯加, madagascar, 塔那那利佛, Antananarivo
马里, mali, 巴马科, Bamako
毛里求斯, mauritius, 路易港, Port Louis
毛里塔尼亚, mauritania, 努瓦克肖特, Nouakchott
摩洛哥, morocco, 拉巴特, Rabat
莫桑比克, mozambique, 马普托, Maputo
纳米比亚, namibia, 温得和克, Windhoek
南非, south africa, 比勒陀利亚, Cape Town
尼日尔, niger, 尼亚美, Niamey
尼日利亚, nigeria, 阿布贾, Abuja
塞拉利昂, sierra leone, 弗里敦, Freetown
塞内加尔, senegal, 达喀尔, Dakar
塞舌尔, seychelles, 维多利亚, Victoria
圣多美和普林西比, São Tomé and Príncipe, 圣多美, Sao Tome
苏丹, sudan, 喀土穆, Khartoum
索马里, somali, 摩加迪沙, Mogadishu
坦桑尼亚, tanzania, 达累斯萨拉姆, Dodoma
突尼斯, tunisia, 突尼斯, Tunis
乌干达, uganda, 坎帕拉, Kampala
赞比亚, zambia, 卢萨卡, Lusaka
乍得, chad, 恩贾梅纳, N'Djamena
中非, central africa, 班吉, Bangui
大洋洲国家列表, oceania, , 
澳大利亚, australia, 堪培拉, Canberra
巴布亚新几内亚, papua new guinea, 莫尔兹比港, Port Moresby
斐济, fiji, 苏瓦, Suva
库克群岛, cook, , 
美属萨摩亚, samoa, , 
密克罗尼西亚联邦, micronesia, 帕利基尔, Palikir
瑙鲁, nauru, 亚伦, Yaren District
汤加, tonga, 努库阿洛法, Nuku'alofa
瓦努阿图, vanuatu, 维拉港, Port Vila
新西兰, new zealand, 惠灵顿, Wellington
关岛, Guam, ,
